Job Title,Company,Experience,Level,Salary,Apply Before,Scraped At
Product Manager – Snowman Camera (Indoor),WorldLink Communications,More than 3 years,Mid Level,Not Disclosed,"Dec 22, 2025",2025-12-17 13:00:40
MIS Officer,WorldLink Communications,More than 1 year,Mid Level,Not Disclosed,"Dec 22, 2025",2025-12-17 13:00:40
Production Executive,Asian Paints (Nepal),More than 2 years,Mid Level,"NRs. 35,000 - 40,000 Monthly","Dec 22, 2025",2025-12-17 13:00:40
Sales Executive,Mero Coding Class,More than 1 year,Entry Level,Not Disclosed,"Dec 20, 2025",2025-12-17 13:00:40
Operations Manager,Future Employment Service,More than 4 years,Senior Level,Not Disclosed,"Dec 20, 2025",2025-12-17 13:00:40
Senior Officer - Finance and Accounts,Times Business,More than 5 years,Senior Level,Not Disclosed,"Dec 20, 2025",2025-12-17 13:00:40
Showroom Hostess,Times Business,More than 1 year,Mid Level,Not Disclosed,"Dec 20, 2025",2025-12-17 13:00:40
Engineer – CAD and 3D Modeling,I.S.B. Engineering,Not Required,Entry Level,Not Disclosed,"Dec 20, 2025",2025-12-17 13:00:40
Fulfillment Manager,Load Board,More than 5 years,Senior Level,Not Disclosed,"Dec 20, 2025",2025-12-17 13:00:40
Head - Research Centre,Ace Group,More than 3 years,Senior Level,Not Disclosed,"Jan 05, 2026",2025-12-17 13:00:40
Marketing Officer,Ace Group,More than 1 year,Mid Level,Not Disclosed,"Jan 04, 2026",2025-12-17 13:00:40
Program Coordinator / Manager,Ace Group,More than 2 years,Mid Level,Not Disclosed,"Jan 03, 2026",2025-12-17 13:00:40
Compliance Officer,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 50,000 - 60,000 Monthly","Dec 19, 2025",2025-12-17 13:00:40
Full Stack Developer,Audit Partnership,More than 2 years,Mid Level,Not Disclosed,"Dec 19, 2025",2025-12-17 13:00:40
Documentation Officer,Paradeshi Overseas Services,More than 1 year,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Sales and Marketing Executive,Nameru Trade,More than 1 year,Mid Level,"NRs. 25,000 - 40,000 Monthly","Dec 18, 2025",2025-12-17 13:00:40
Administrator,East West Concern,More than 2 years,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Assistant Relationship Officer,Himal Tea Industries - Rakura Group,Not Required,Entry Level,"NRs. 25,000 - 30,000 Monthly","Dec 17, 2025",2025-12-17 13:00:40
Software Developer,WorldLink Communications,Equal to 2 years,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Tele Sales Executive,DHL Express Nepal,More than 1 year,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Infrastructure & Cloud Engineer,Digital Network Solution,More than 3 years,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Project Manager,Digital Network Solution,More than 3 years,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Sales Executive,Inskpire Hub,More than 1 year,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Business Development Manager,Huawei Technologies Nepal,More than 5 years,Senior Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:40
Sales Executive (For UK),Same Day Courier,Not Required,Entry Level,"NRs. 100,000 - 120,000 Monthly","Dec 30, 2025",2025-12-17 13:00:40
Communications Coordinator,Women LEAD Nepal,More than 2 years,Mid Level,Not Disclosed,"Dec 21, 2025",2025-12-17 13:00:40
Assistant Manager / Operation Supervisor,Stemz Healthcare Center,More than 2 years,Mid Level,"NRs. 50,000 - 60,000 Monthly","Dec 23, 2025",2025-12-17 13:00:40
Saathi Teacher,Helambu Education and Livelihood Partnership,More than 2 years,Mid Level,Not Disclosed,"Dec 25, 2025",2025-12-17 13:00:40
Pre-Primary Coordinator (Montessori),Shree Tarapunja English School,More than 2 years,Mid Level,Not Disclosed,"Jan 06, 2026",2025-12-17 13:00:40
Market Representative,Kathmandu Commerce & Trade (Bravo),More than 1 year,Mid Level,Not Disclosed,"Dec 27, 2025",2025-12-17 13:00:39
Intern,E-Spot Nepal,Not Required,Entry Level,Not Disclosed,"Dec 18, 2025",2025-12-17 13:00:39
HR Executive,Millsberry School,More than 5 years,Senior Level,Not Disclosed,"Dec 27, 2025",2025-12-17 13:00:39
Education Counselor,Vivid Education,More than 1 year,Mid Level,"NRs. 325,000 - 750,000 Yearly","Dec 26, 2025",2025-12-17 13:00:39
Marketing Executive,Siddhartha Hardware and Suppliers,More than 2 years,Mid Level,Not Disclosed,"Dec 27, 2025",2025-12-17 13:00:39
Sales Executive,Aircon Nepal,More than 1 year,Mid Level,Not Disclosed,"Dec 26, 2025",2025-12-17 13:00:39
Business Development Officer,Campus Transfer,More than 2 years,Mid Level,"NRs. 25,000 - 50,000 Monthly","Dec 27, 2025",2025-12-17 13:00:39
Sales Officer,Times Business,More than 1 year,Mid Level,Not Disclosed,"Dec 22, 2025",2025-12-17 13:00:39
Operations Head,Nepal Senior Care,More than 5 years,Mid Level,Not Disclosed,"Dec 17, 2025",2025-12-17 13:00:39
Education Counselor,Visa Alliance,More than 2 years,Mid Level,Not Disclosed,"Dec 21, 2025",2025-12-17 13:00:39
Sales Executive,Nepal Petro Lube Industries,Equal to 1 year,Entry Level,Not Disclosed,"Dec 26, 2025",2025-12-17 13:00:39
Social Media Handler,Discovery World Trekking,More than 2 years,Mid Level,Not Disclosed,"Dec 26, 2025",2025-12-17 13:00:39
Field Sales Representative,A Tobacco Company,Not Required,Entry Level,"NRs. 22,000 - 33,000 Monthly","Dec 17, 2025",2025-12-17 13:00:39
Manager,Himal Store,More than 2 years,Mid Level,"NRs. 30,000 Monthly","Dec 26, 2025",2025-12-17 13:00:39
Sales executives,Rycon Group,More than 2 years,Mid Level,"NRs. 25,000 - 35,000 Monthly","Dec 19, 2025",2025-12-17 13:00:39
GS Admissions Officer,Study Info Centre,More than 1 year,Mid Level,Not Disclosed,"Dec 26, 2025",2025-12-17 13:00:39
Front Desk Officer,American Educational Research & Training Center,Equal to 1 year,Entry Level,Not Disclosed,"Dec 25, 2025",2025-12-17 13:00:39
